"id","title","link","place","physicalDescription__label","physicalDescription__content","date__label","date__content","name__label","name__content"
"edanmdm-npg_NPG.71.34","Cecilia Beaux Self-Portrait","https://npg.si.edu/object/npg_NPG.71.34","","Medium","Oil on canvas","Date","c. 1889-1894","Artist","Cecilia Beaux, 1 May 1855 - 17 Sep 1942"
"","","","","Dimensions","Stretcher: 45.4 x 35.2 x 2.5cm (17 7/8 x 13 7/8 x 1"")","","","Sitter","Cecilia Beaux, 1 May 1855 - 17 Sep 1942"
"","","","","Dimensions","Frame: 57.2 x 46.7 x 5.4cm (22 1/2 x 18 3/8 x 2 1/8"")","","","",""
"edanmdm-npg_NPG.95.20","William Gilmore Simms","https://npg.si.edu/object/npg_NPG.95.20","","Medium","Oil on canvas","","","Artist","Unidentified Artist"
"","","","","Dimensions","Stretcher: 67.3 x 55.2 x 2.5cm (26 1/2 x 21 3/4 x 1"")","","","Sitter","William Gilmore Simms, 17 Apr 1806 - 11 Jun 1870"
"","","","","Dimensions","Frame: 82.6 x 70.2 x 7cm (32 1/2 x 27 5/8 x 2 3/4"")","","","",""
"edanmdm-npg_NPG.75.13","John Stevens","https://npg.si.edu/object/npg_NPG.75.13","","Medium","Oil on canvas","Date","c. 1830","Artist","Unidentified Artist"
"","","","","Dimensions","Stretcher: 92.1 x 74.3 x 2.5cm (36 1/4 x 29 1/4 x 1"")","","","Sitter","John Stevens, 1749 - 6 Mar 1838"
"","","","","Dimensions","Frame: 118.7 x 100.3 x 12.1cm (46 3/4 x 39 1/2 x 4 3/4"")","","","",""
"edanmdm-npg_NPG.79.252","John Russwurm","https://npg.si.edu/object/npg_NPG.79.252","","Medium","Oil on canvas","Date","c. 1850","Artist","Unidentified Artist"
"","","","","Dimensions","Stretcher (Verified): 20.6 × 16.2 cm (8 1/8 × 6 3/8"")","","","Sitter","John Russwurm, 1 Oct 1799 - 9 Jun 1851"
"","","","","Dimensions","Frame (Verified): 25.4 × 20.6 × 2.5 cm (10 × 8 1/8 × 1"")","","","",""
"","","","","Dimensions","Emphasis Panel: 60 × 55.1 cm (23 5/8 × 21 11/16"")","","","",""
"edanmdm-npg_NPG.74.44","Andrew Carnegie","https://npg.si.edu/object/npg_NPG.74.44","","Medium","Oil on canvas","Date","c. 1905","Artist","Unidentified Artist"
"","","","","Dimensions","Stretcher: 128.3 x 101.9 x 3.8cm (50 1/2 x 40 1/8 x 1 1/2"")","","","Sitter","Andrew Carnegie, 25 Nov 1835 - 11 Aug 1919"
"","","","","Dimensions","Frame: 150.5 x 125.7 x 5.1cm (59 1/4 x 49 1/2 x 2"")","","","",""
"edanmdm-npg_NPG.77.22","John Singleton Copley Self-Portrait","https://npg.si.edu/object/npg_NPG.77.22","","Medium","Oil on canvas","Date","c. 1780-1784","Artist","John Singleton Copley, 3 Jul 1738 - 9 Sep 1815"
"","","","","Dimensions","Stretcher: 56.5 diameter x 2.5cm (22 1/4 diameter x 1"")","","","Sitter","John Singleton Copley, 3 Jul 1738 - 9 Sep 1815"
"","","","","Dimensions","Frame: 81.3 x 81.3 x 14.6cm (32 x 32 x 5 3/4"")","","","",""
"edanmdm-npg_S_NPG.89.12","Elizabeth Washington Gamble Wirt","https://npg.si.edu/object/npg_S_NPG.89.12","","Medium","Oil on canvas","Date","c. 1809-1810","Artist","Cephas Thompson, 1 Jul 1775 - 6 Nov 1856"
"","","","","Dimensions","Frame: 111.1 x 94.6 x 6.4cm (43 3/4 x 37 1/4 x 2 1/2"")","","","Former attribution","John Vanderlyn, 15 Oct 1775 - 23 Sep 1852"
"","","","","","","","","Sitter","Elizabeth Washington Gamble Wirt, 30 Jan 1784 - 24 Jan 1857"
