id,title,date,link,place,name__label,name__content,credit,medium,image
edanmdm-chndm_1952-161-230-a_b,Pleated fan and case,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105716,France,,,Gift of Anonymous Donor,"Silk leaf, pierced, carved and painted ivory sticks with applied gold foil",https://ids.si.edu/ids/deliveryService?id=CHSDM-105716_01-000001
edanmdm-chndm_1952-161-239,Fan leaf,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105725,England,,,Gift of Anonymous Donor,Gouache-painted parchment,https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-239MattFlynn
edanmdm-chndm_1952-161-240,Pleated fan,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105727,England,,,Gift of Anonymous Donor,"Paper leaf backed with parchment, gilded and painted with watercolour, carved and pierced ivory sticks with silver and gold spangles, mother-of-pearl plaque at rivet",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-240oMattFlynn
edanmdm-chndm_1952-166-44,Panel,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105983,France,,,Gift of Anonymous Donor,"Medium: silk and metallic embroidery, linen foundation Technique: embroidered in satin, outline and counted stitches",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-166-44MattFlynn
edanmdm-chndm_1952-166-48-a_c,Textile,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105988,Italy,,,Gift of Anonymous Donor,"Medium: silk, metal-wrapped silk thread Technique: compound satin with supplementary weft",https://ids.si.edu/ids/deliveryService?id=CHSDM-A8BFAA70E04A2-000001
edanmdm-chndm_1957-100-21-a_b,Eraser and Sheath,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/115884,Rhode Island,Manufacturer,"Gorham Manufacturing Company, Providence, Rhode Island, USA, founded 1818",Gift of Anonymous Donor,"silver, mother-of-pearl, chrome steel, leather",https://ids.si.edu/ids/deliveryService?id=CHSDM-CBE6E4CB6F052-000001
edanmdm-chndm_1967-48-42-a_b,Bilboquet,1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139290,France,,,Gift of Anonymous Donor,"Ivory, silk cord (replacement)",https://ids.si.edu/ids/deliveryService?id=CHSDM-F8B8EBEE2A4B2-000001
edanmdm-chndm_1949-151-16-c_d,Cup and Saucer,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/227880,Doccia,Manufacturer,"Doccia Porcelain Factory, Italian, established 1735",Gift of Anonymous Donor,"porcelain, vitreous enamel, gold",https://ids.si.edu/ids/deliveryService?id=CHSDM-5C153E6502D42-000001
edanmdm-chndm_1949-151-16-a_b,Cup and Saucer,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/99924,Italy,Manufacturer,"Doccia Porcelain Factory, Italian, established 1735",Gift of Anonymous Donor,"porcelain, vitreous enamel, gold",https://ids.si.edu/ids/deliveryService?id=CHSDM-1949-151-16abEllenMcDermott
edanmdm-chndm_1949-149-8,Plate,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/99884,USA,Manufacturer,"Rookwood Pottery, American, 1880 - 1967",Gift of Anonymous Donor,Glazed earthenware,https://ids.si.edu/ids/deliveryService?id=CHSDM-99884_02
